Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0,-4.275421619,3.957375765,7.0171175
0.010001563,-3.80427146,3.860525608,6.369313717
0.02,-3.826422691,4.26669693,6.912194252
0.030001563,-3.439213037,4.138827801,7.040015697
0.040009375,-3.057261467,4.117930889,6.864865303
0.050001563,-2.864834547,3.997837782,7.281408787
0.060001563,-2.713875294,3.872094393,7.715381622
0.070001563,-2.6658957,3.746437073,8.112341881
0.08,-2.706060648,3.656127691,8.578271866
0.090001563,-2.813138962,3.553847551,8.946922302
0.100001563,-2.948612452,3.513883591,9.116784096
0.110003125,-3.036527634,3.617743969,9.114563942
0.120001563,-3.063361883,3.710390091,9.024207115
0.130001563,-3.091632605,3.752231121,8.884699821
0.14000625,-3.054053068,3.697489977,8.68487072
0.15,-2.924919367,3.662199497,8.557183266
0.16,-2.815906763,3.65444231,8.453331947
0.170003125,-2.67916894,3.658589125,8.417332649
0.180003125,-2.455167532,3.669937611,8.472045898
0.190001563,-2.282804251,3.676698685,8.63283062
0.200001563,-2.190531731,3.612591743,8.864789963
0.210003125,-2.005134344,3.483314276,8.95271492
0.220003125,-1.756798148,3.280716896,9.054718018
0.230003125,-1.534060717,3.120161772,9.371757507
0.240010938,-1.366322994,2.953487158,9.672183037
0.250004688,-1.306285977,2.806550264,9.908021927
0.260004688,-1.361956,2.731630802,10.03672409
0.270003125,-1.558098555,2.827101946,10.15986252
0.280003125,-1.790019989,3.020457745,10.23551846
0.290007813,-1.976250648,3.195924044,10.16384506
0.300003125,-2.14372015,3.324358463,9.984596252
0.310003125,-2.285284519,3.361832619,9.866591454
0.320004688,-2.157099009,3.328332901,9.786356926
0.330004688,-1.880731583,3.245867014,9.715660095
0.340009375,-1.579780459,3.152004719,9.823572159
0.350003125,-1.387114167,3.166800976,9.877948761
0.360003125,-1.178454757,3.289393663,9.798366547
0.370003125,-0.829973936,3.451653481,9.700549126
0.380001563,-0.544795811,3.514812469,9.935247421
0.390004688,-0.306247115,3.585192442,10.1398859
0.400004688,-0.189534575,3.589444399,10.22926426
0.410003125,-0.140051216,3.583305836,10.33432198
0.420003125,-0.014690821,3.586983204,10.2962265
0.430003125,-0.166033089,3.42188859,10.19136047
0.440003125,-0.229517743,3.369695187,10.31035137
0.450003125,-0.410126746,4.096746922,10.66268253
0.460004688,-0.39151901,4.727705479,10.43900585
0.470004688,0.009002198,4.603034496,10.40872478
0.480003125,0.24693796,4.270154476,10.57795715
