Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.21148,0.211795703,-1.874885082,-0.343306273
0.22148,0.266110361,-1.981315255,-0.482792974
0.23148,0.339553803,-1.916388988,-0.595645964
0.24148,0.460924,-1.537373304,-0.670154095
0.25148,0.551419318,-1.21265471,-0.701028943
0.261481563,0.640850008,-0.95186764,-0.702093601
0.271481563,0.707591355,-0.788504839,-0.689928651
0.28148,0.783827364,-0.618457437,-0.667728066
0.29148,0.821229756,-0.565015435,-0.660659492
0.30148,0.819693863,-0.523790777,-0.686804533
0.31148,0.764000416,-0.455600739,-0.725934803
0.32148,0.682319045,-0.411304295,-0.730525017
0.331481563,0.622454226,-0.365733743,-0.692633927
0.34148,0.577773809,-0.373448104,-0.608788311
0.35148,0.577302575,-0.503492594,-0.491380006
0.36148,0.634846032,-0.633205473,-0.428740144
0.37148,0.714450538,-0.706474364,-0.454972416
0.38148,0.777840912,-0.682685554,-0.583638072
0.39148,0.804457128,-0.586378276,-0.772028923
0.401481563,0.765134871,-0.460662216,-0.976337194
0.411481563,0.662963331,-0.327563405,-1.160504341
0.42148,0.526077151,-0.188809723,-1.277231932
0.43148,0.385508329,-0.053284902,-1.32686913
0.441481563,0.262061179,0.049235739,-1.345613956
0.45148,0.173904613,0.153309718,-1.348319173
0.46148,0.125087753,0.245131493,-1.338667512
0.471481563,0.104492866,0.31880185,-1.336189151
0.48148,0.100775309,0.399610579,-1.339609981
0.49148,0.093148224,0.445408016,-1.330831051
0.50148,0.092589714,0.508152604,-1.319154739
0.51148,0.095783666,0.668216765,-1.362281799
0.52148,0.07253588,0.836012721,-1.465710044
0.53148,-0.002338741,0.935775757,-1.567916512
0.541481563,-0.125506625,0.965725601,-1.615057826
0.551481563,-0.269007593,0.968605399,-1.584619284
0.561481563,-0.383291751,0.966772795,-1.492518306
0.57148,-0.457136631,0.933594048,-1.347917795
0.58148,-0.472006828,0.861267626,-1.172983408
