Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.0,-0.08762778342,0.1110239178,9.26723671,-0.07386233658,0.161565125,0.0001047197584
0.002,-0.08884403855,0.09245449305,9.275252342,-0.0743335709,0.1654921174,0.00150098314
0.004,-0.1017535701,0.08539638668,9.278260231,-0.07389724255,0.1686686128,0.003333578818
0.006,-0.1256093979,0.07329130918,9.294109344,-0.07309439033,0.1705884784,0.005986479111
0.008,-0.1526447237,0.06400179863,9.289847374,-0.07276277989,0.1716880351,0.008953538723
0.01,-0.176902771,0.05157110468,9.273385048,-0.07293730974,0.1724385321,0.01141445339
0.012,-0.1916989386,0.05277778208,9.259996414,-0.07332128286,0.1733810008,0.01464331243
0.014,-0.2034592628,0.04729985073,9.249950409,-0.07316420227,0.1744107455,0.01815142483
0.016,-0.2181979716,0.01755428687,9.234168053,-0.07374016196,0.1744980216,0.02148500271
0.018,-0.2442755997,-0.02561795898,9.227214813,-0.07490953058,0.1754928529,0.02567379363
0.02,-0.2671833336,-0.06319735199,9.221297264,-0.07571238279,0.1777792424,0.03022910282
0.022,-0.292427808,-0.1016961113,9.22472477,-0.07730063051,0.1793500334,0.03490658477
0.024,-0.3213689029,-0.1481436342,9.238631248,-0.07951720059,0.1793500334,0.03871140257
0.026,-0.355653882,-0.190482676,9.259881973,-0.08136724681,0.1796641946,0.04279547185
0.028,-0.3769622743,-0.2203048766,9.276544571,-0.08244935423,0.180746302,0.04824090004
0.03,-0.3942962885,-0.2470050007,9.285699844,-0.08288568258,0.1818109453,0.05393067375
0.032,-0.3956657648,-0.2401671559,9.304203033,-0.08306021988,0.1828756034,0.05907939374
0.034,-0.3957615495,-0.229498595,9.313290596,-0.08250171691,0.1845860183,0.06401867419
0.036,-0.391538173,-0.2212433964,9.308771133,-0.08227481693,0.1877974272,0.07140141726
0.038,-0.3879085779,-0.2043786347,9.311510086,-0.08217009902,0.1913229972,0.07976154983
0.04,-0.3686974645,-0.177525267,9.316596031,-0.08182103187,0.1940107942,0.08632398397
0.042,-0.3448799849,-0.1675558239,9.311969757,-0.08199556917,0.1973094642,0.09311331809
0.044,-0.3235236704,-0.1680155098,9.316049576,-0.08175121993,0.2011841089,0.101229094
0.046,-0.303278327,-0.1531235725,9.309345245,-0.08101818711,0.2068738788,0.1105317026
0.048,-0.2861071229,-0.1525776833,9.307937622,-0.08040732145,0.2135933936,0.1200088412
0.05,-0.2666182816,-0.1492641121,9.306577682,-0.07951720059,0.2182359695,0.1273217648
0.052,-0.2372845411,-0.1574522853,9.292250633,-0.07885397226,0.2226341963,0.1340936422
0.054,-0.226951167,-0.1614458114,9.289588928,-0.07794640213,0.2275909334,0.1418952644
0.056,-0.2030187249,-0.1657266319,9.29932785,-0.07630579174,0.2337170392,0.1517040133
0.058,-0.1782530993,-0.1747958809,9.3090868,-0.07438593358,0.2409427017,0.1623330712
0.06,-0.1667034775,-0.1871978492,9.31760025,-0.07202973962,0.2467197478,0.1704488546
0.062,-0.1550485045,-0.2234939486,9.329341888,-0.07010987401,0.251606673,0.1781632155
0.064,-0.1368334144,-0.2426475585,9.332109451,-0.06806784123,0.2561096251,0.1882512122
0.066,-0.1286165118,-0.2594548762,9.333871841,-0.06565928459,0.2607870996,0.2008699477
0.068,-0.1551730037,-0.2914126515,9.373204231,-0.06342526525,0.2642602921,0.2145358771
0.07,-0.1567052901,-0.3325641751,9.39663887,-0.06124360487,0.2653773129,0.2260899544
0.072,-0.1480861604,-0.3620990515,9.4106493,-0.05909684673,0.2670877278,0.2368062735
0.074,-0.1418133527,-0.3945835829,9.427073479,-0.05728170648,0.2696708143,0.2484127134
0.076,-0.135301128,-0.4181425571,9.432321548,-0.05558873713,0.2713637948,0.2616597712
0.078,-0.1314608306,-0.4570913911,9.43530941,-0.05396557972,0.2717303038,0.2749591768
0.08,-0.1411334127,-0.4735634923,9.432177544,-0.05234242231,0.2715557814,0.2847853601
0.082,-0.150566563,-0.4824986756,9.428883553,-0.05042256042,0.2705434859,0.2941403389
