Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.213483125,-0.095975652,-1.521857262,0.048502699
0.223483125,-0.026755897,-1.624046326,0.063407809
0.233481562,0.044558257,-1.696460009,0.014433873
0.243481562,0.085014984,-1.762450933,-0.092013761
0.253481562,0.100984752,-1.851899028,-0.216577902
0.263481562,0.106290549,-1.884920716,-0.332624853
0.273481562,0.115278997,-1.846279144,-0.422753662
0.283483125,0.136327669,-1.708502769,-0.527455926
0.293481562,0.173154116,-1.540549755,-0.601091385
0.303481562,0.224711135,-1.369507551,-0.639156997
0.313481562,0.280893296,-1.267196298,-0.646173239
0.323481562,0.316201299,-1.196475506,-0.647307694
0.333481562,0.310057729,-1.096415877,-0.71260047
0.343484687,0.288223684,-0.977105141,-0.863833249
0.353483125,0.253875583,-0.942111254,-1.054143906
0.363483125,0.210957944,-0.981276453,-1.210473061
0.373481562,0.140882984,-1.043864012,-1.339243531
0.383481562,0.053564154,-1.036900163,-1.423420668
0.393481562,-0.097843155,-0.987891257,-1.284859061
0.403481562,-0.162123635,-1.127133608,-1.207157016
0.413481562,-0.165038332,-1.21001935,-1.224400878
0.423483125,-0.14028956,-1.114183307,-1.315768838
0.433483125,-0.107739173,-0.870901823,-1.438797116
0.44348625,-0.051714107,-0.563479543,-1.542539477
0.453481562,0.012426744,-0.280526757,-1.613975763
0.463481562,0.051853731,-0.031817351,-1.651517749
0.473481562,0.064699352,0.162664682,-1.680193543
0.483481562,0.075136423,0.306881249,-1.728224993
0.493483125,0.089640111,0.411862791,-1.79542017
0.503483125,0.105924033,0.476335257,-1.874693036
0.513483125,0.115453526,0.529672503,-1.929042578
0.523481562,0.12948598,0.520003378,-1.953494668
0.533481562,0.145263746,0.454815358,-1.974717855
0.543481562,0.16737707,0.387777239,-2.000845432
0.553481562,0.223454505,0.382122397,-2.030830145
0.563484687,0.296007842,0.417639822,-2.069070339
0.573483125,0.35953781,0.471134186,-2.109020948
0.583483125,0.383396477,0.518676937,-2.130209208
0.593481562,0.374058962,0.530754626,-2.119946718
0.603481562,0.329483241,0.530126333,-2.092562437
0.613481562,0.276442707,0.523476601,-2.046695232
0.623481562,0.226665914,0.515151381,-1.978592515
0.633481562,0.187657803,0.52099824,-1.895637035
0.643481562,0.167150185,0.542971909,-1.814112663
0.653483125,0.136711642,0.614006817,-1.732064724
0.663481562,0.070406578,0.705357373,-1.622510433
0.673481562,-0.008447394,0.789970934,-1.489551187
0.683481562,-0.074490651,0.919439435,-1.350745201
0.693481562,-0.127670839,1.106905222,-1.224767327
0.703481562,-0.188094139,1.284178376,-1.137151837
0.713483125,-0.253421813,1.431449175,-1.06257391
0.723483125,-0.303128779,1.550637722,-0.962252378
0.733481562,-0.308312416,1.599018335,-0.828211069
0.743481562,-0.281992853,1.508714914,-0.646539748
0.753481562,-0.218253419,1.352734923,-0.4098382
0.763481562,-0.113219507,1.280757546,-0.133290797
0.773481562,0.018849555,1.307216644,0.16053538
0.783483125,0.153082833,1.356208086,0.43519786
0.793483125,0.305118471,1.400539398,0.752149642
0.803483125,0.459754616,1.403052688,1.037249207
0.813481562,0.603046179,1.356626987,1.264456153
0.823481562,0.722863019,1.259063005,1.469113469
0.833481562,0.804492056,1.071056247,1.666108727
0.843481562,0.857131183,0.813480496,1.906876922
0.8534925,0.893713295,0.685198784,2.175151587
0.863483125,0.960611761,0.681359112,2.37488699
0.873481562,1.024263978,0.650222421,2.530256271
0.883481562,1.043340325,0.57014668,2.639409065
0.893481562,1.035468936,0.414306253,2.725645781
0.903481562,1.013355613,0.235095844,2.83408308
0.913481562,0.970647395,0.058398716,2.998719931
0.923483125,0.942722142,-0.13847442,3.13993454
0.933483125,0.96143204,-0.14348352,3.261566639
0.943483125,1.016584516,0.16474162,3.397335768
0.953481562,1.037668109,0.328418612,3.589531422
0.963481562,1.002534628,0.514976859,3.82008934
0.973481562,0.952827573,0.645038784,4.028028011
0.983481562,0.882281363,0.660676956,4.165629864
0.993481562,0.784804761,0.4341681,4.283439159
1.003487812,0.679962814,0.101141833,4.395140648
1.013483125,0.652892768,-0.081489421,4.452614307
1.023481562,0.689230502,-0.158772603,4.531625271
1.033481562,0.742305994,-0.065851271,4.683276653
1.043481562,0.778486669,0.089168869,4.855767727
1.05348625,0.796533346,0.261624843,5.04342556
1.063481562,0.784054279,0.383762985,5.168321133
1.073483125,0.763651371,0.414777488,5.183348656
1.083483125,0.752603412,0.361370414,5.057004452
1.093481562,0.737820506,0.273196399,4.844702244
1.103481562,0.707504094,0.161373138,4.600373745
1.113481562,0.639052331,-0.020943951,4.364666939
1.123481562,0.545554996,-0.233455241,4.187987328
1.13348,0.441044688,-0.394409508,4.114037514
1.143481562,0.322816104,-0.405597061,4.062759876
1.153483125,0.189193696,-0.336063147,3.965806961
1.163481562,0.0596379,-0.302203745,3.816790819
1.173481562,-0.040090214,-0.338663697,3.635625601
1.183481562,-0.100443698,-0.382104933,3.432242393
1.193481562,-0.133098811,-0.38456586,3.220027685
1.203484687,-0.144321278,-0.377689242,2.961910963
1.213483125,-0.139573976,-0.426122129,2.62289834
1.223483125,-0.128648221,-0.481675953,2.187578201
1.233481562,-0.121963605,-0.58061868,1.6832304
1.243481562,-0.123482041,-0.729704678,1.174274921
1.253483125,-0.166277513,-0.847095549,0.720489383
1.263481562,-0.264504641,-0.923471153,0.331106424
1.273481562,-0.395927936,-0.99099797,-0.021066124
