Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,0.002045918,0.018275531,9.769046783,0.006465499,0.000457111,-0.001774352
0.008333333,0.013004075,0.018797724,9.745242119,0.00603633,0.001487121,-0.001917856
0.016666667,0.023861883,0.026622882,9.774538994,0.00792468,-0.002060019,-0.001487791
0.025,0.007553498,0.021758942,9.741580009,0.006723002,-0.000658062,-0.000801565
0.033333333,0.035077542,0.020478589,9.756227493,0.007438287,-0.001716683,-0.000543616
0.041666667,0.005908248,0.026572812,9.7507267,0.007152173,-0.000401006,-0.002546859
0.05,-0.001366066,0.023482773,9.745242119,0.006064941,-0.000658509,-0.001173513
0.058333333,0.009656383,0.027631428,9.723254204,0.007953292,-0.001287512,-0.000629897
0.066666667,0.015264167,0.026479825,9.765368462,0.008268018,-0.000772507,-0.000257502
0.075,0.007996879,0.014312839,9.74707222,0.006408277,-0.001088126,-0.002260746
0.083333333,0.013575758,0.020328349,9.745232582,0.006751167,0.000542498,-0.002804809
0.091666667,-0.010264191,0.020893445,9.774539948,0.008439684,-0.000658509,-0.001831575
0.1,0.015421569,0.010607662,9.76539135,0.00709495,-0.000915564,-0.000315172
0.108333333,0.022817569,0.025785999,9.730577469,0.007037727,-0.000257949,-0.001431463
0.116666667,-0.011945248,0.008046948,9.737930298,0.006694391,-0.000888294,-0.002747139
0.125,0.002775162,0.021408439,9.7342453,0.00603633,0.000686002,-0.001317464
0.133333333,0.019198464,0.016408611,9.739747047,0.007266619,-0.000373736,-0.003605927
0.141666667,0.019226842,0.033496764,9.74888134,0.007609956,-0.00074479,-0.002232134
0.15,0.041257598,0.032295085,9.754374504,0.007667178,-0.001317464,-0.003519199
0.158333333,-0.008061254,0.031107714,9.778186798,0.008067737,-0.001030457,-0.001859739
0.166666667,0.013976821,0.018883485,9.732417107,0.006150775,-0.000858788,-0.001516403
0.175,0.008554722,0.017595999,9.75988102,0.006665779,-0.000657615,-0.000658062
0.183333333,0.010443151,0.032738563,9.728732109,0.007609956,2.93E-05,-0.000344231
0.191666667,0.025092173,0.016902167,9.741571426,0.007638567,-0.001515956,-0.001058174
0.2,0.012388822,0.017503014,9.736079216,0.008181735,0.000400336,-0.001346076
